Column1.id,Column1.label
642770,0
3311819,0
8404994,0
image00087,0
1342054,6
7287268,6
8536908,6
9065419,6
9127266,6
9864859,6
10094593,6
90695,8
129147,8
129148,8
347026,8
642769,8
724701,8
724702,8
1088091,8
1101523,8
1192529,8
1192530,8
1192531,8
1214540,8
1214541,8
1333987,8
1410514,8
1435689,8
1595383,8
1595384,8
1647811,8
2122511,8
2302353,8
2457096,8
2523510,8
2630505,8
2713097,8
2713308,8
2749666,8
2830437,8
2858434,8
2950954,8
2982031,8
2997251,8
3039455,8
3070766,8
3110442,8
3136362,8
3161697,8
3217876,8
3221250,8
3262056,8
3262057,8
3269696,8
3299949,8
3299950,8
3299951,8
3311828,8
3311829,8
3311830,8
3311831,8
3311832,8
3363022,8
3437770,8
3462172,8
3469587,8
3571017,8
3593468,8
3593469,8
3593791,8
3638466,8
3645312,8
3651463,8
3706348,8
3772489,8
3859345,8
3946800,8
3946801,8
3946802,8
3946803,8
3960343,8
3970230,8
3973171,8
3976933,8
3978221,8
3982280,8
3994969,8
4000793,8
4013201,8
4015320,8
4055421,8
4066891,8
4109478,8
4274359,8
4274360,8
4279978,8
4319306,8
4429468,8
4485196,8
4555935,8
4585699,8
4631371,8
4662724,8
4662725,8
4662726,8
4662727,8
4716000,8
4718909,8
4718910,8
4722131,8
4722132,8
4722134,8
4722135,8
4722138,8
4722139,8
4722140,8
4722141,8
4722142,8
4722143,8
4722144,8
5165539,8
5210725,8
5210726,8
5210727,8
5311899,8
5373415,8
5486692,8
5573813,8
5704561,8
5782072,8
5833270,8
5833271,8
5833272,8
6056298,8
6179278,8
6205421,8
6205703,8
6213217,8
6213218,8
6213467,8
6213468,8
6310135,8
6310138,8
6310139,8
6363310,8
6363316,8
6396884,8
6396885,8
6396886,8
6396887,8
6458325,8
6617075,8
6617076,8
6617077,8
6617078,8
6661643,8
6672803,8
6696593,8
6696594,8
6696820,8
6710949,8
6710950,8
6710951,8
6760043,8
6829253,8
6829254,8
6829255,8
6829256,8
6829257,8
6829258,8
6829259,8
6880157,8
7085456,8
7116791,8
7229907,8
7229908,8
7349487,8
7355397,8
7356421,8
7356422,8
7356423,8
7356424,8
7356425,8
7356426,8
7356427,8
7679965,8
7726150,8
7726151,8
7775823,8
7775824,8
7877391,8
7903675,8
7929113,8
8085469,8
8085470,8
8158150,8
8242804,8
8242805,8
8242806,8
8346293,8
8363944,8
8363945,8
8363946,8
8375569,8
8383287,8
8391165,8
8404993,8
8408379,8
8408380,8
8427850,8
8427851,8
8445252,8
8460285,8
8460286,8
8460287,8
8461304,8
8461305,8
8488210,8
8488211,8
8488212,8
8494819,8
8534786,8
8534787,8
8534788,8
8536907,8
8564725,8
8564726,8
8594522,8
8673386,8
8711331,8
8711332,8
8715542,8
8715543,8
8759459,8
8759460,8
8778358,8
8789444,8
8789445,8
8789446,8
8815735,8
8843607,8
8893717,8
8950571,8
8963945,8
9039572,8
9127262,8
9127263,8
9132628,8
9274840,8
9274841,8
9304185,8
9328391,8
9385147,8
9385148,8
9385149,8
9385150,8
9437555,8
9482701,8
9518082,8
9523059,8
9523060,8
9549627,8
9625542,8
9625543,8
9625544,8
9625545,8
9625546,8
9625547,8
9674744,8
9731504,8
9733707,8
9733708,8
9747502,8
9763830,8
9866975,8
10093232,8
10160591,8
10236723,8
64759321,8
64759322,8
image00081,8
image00082,8
image00083,8
image00084,8
image00085,8
image00088,8
image00089,8
image00090,8
image00091,8
image00092,8
image00093,8
image03147,8
10483704s,8
